Year,Algebra,Trigonometry,Calculus,Application of Derivatives,Coordinate Geometry,Vectors and 3D,Determinant and Matrices,Probability
2019,19,17,21,12,16,14,15,10
2018,27,10,29,15,7,13,7,15
